time,q_raw_0,q_raw_1,q_raw_2,q_raw_3,q_raw_4,q_raw_5,q_raw_6,q_filter_0,q_filter_1,q_filter_2,q_filter_3,q_filter_4,q_filter_5,q_filter_6,dq_raw_0,dq_raw_1,dq_raw_2,dq_raw_3,dq_raw_4,dq_raw_5,dq_raw_6,dq_filter_0,dq_filter_1,dq_filter_2,dq_filter_3,dq_filter_4,dq_filter_5,dq_filter_6,ddq_raw_0,ddq_raw_1,ddq_raw_2,ddq_raw_3,ddq_raw_4,ddq_raw_5,ddq_raw_6,ddq_filter_0,ddq_filter_1,ddq_filter_2,ddq_filter_3,ddq_filter_4,ddq_filter_5,ddq_filter_6,tau_raw_0,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_filter_0,tau_filter_1,tau_filter_2,tau_filter_3,tau_filter_4,tau_filter_5,tau_filter_6
1.0,0.3524309832522547,0.6531022038273501,0.555761384356929,0.2664238097417726,0.7460808988599156,0.5654819511200155,-5.933119354146862,0.35220595999199855,0.6529401681113405,0.5557315659007482,0.27261939973200455,0.7524164038596679,0.563707304665223,-5.931935127827234,-0.1373657974549346,-1.222388454589867,-0.0729146978817987,3.722390705666656,0.1870256891042788,-0.4887853191824306,-8.658159137989209,-0.10359273757925,-1.1487685938697842,-0.0674478783045045,3.963760651714029,0.15316229209613688,-0.3476315039109158,-4.780858800108151,-7.360531334839499,0.4691421249962765,-0.06457859158265587,3.2968215747392726,-7.334827621295502,4.55449455255982,51.56691277324791,-5.396032181712275,-1.9835607466318588,-0.6234565563140443,4.544603078362754,0.6934694326494171,-6.421837223958718,31.52631041220409,-1.27401048176107,0.0218693305951239,0.127311858057023,0.0426641195355944,0.0580893316564587,0.030078832149377,-0.0025726352703338,-1.2779699699819964,-0.04420516804067041,0.16086239387817167,0.013508254617137954,0.036858789312651054,0.03126629622932447,-0.0020707632195220336
1.005,0.3521089474905144,0.6498270879009291,0.5555509981801035,0.2773134727379369,0.7460808988599156,0.5654819511200155,-5.944961907747953,0.3516209142853072,0.6470869053582167,0.5553812196516593,0.29240793496146644,0.7530903441559761,0.5613918415104995,-5.9515528552632935,-0.139956710713429,-1.1564841136100483,-0.0742899722294254,3.792600260092111,0.1864886945408587,-0.4873883980654275,-4.146300063622169,-0.13056936936367788,-1.158591656743187,-0.07043826923096652,3.9862947600227456,0.15825150015369738,-0.3793285260810736,-4.627828203855806,2.048196828545516,9.449876435723533,-0.14080397033754458,0.23367869502296895,20.374971588837713,-0.36947601079361514,4.8072700312923695,-5.365047448936311,-1.9322895922288181,-0.6310525459974331,4.360921116266559,0.700915519218148,-6.445809892475175,30.98256274568893,-1.2724212368144787,0.0243696102420694,0.1238188353852832,0.0418723802469433,0.0574005530928784,0.0308615350625364,-0.0020366023757685,-1.2626771345372108,-0.0380611930813756,0.15819931641425428,0.014879572724533068,0.03657464085834686,0.030732385647303316,-0.0020782309019846262
1.01,0.3508455764252255,0.6394663846336937,0.554840944833317,0.3126675841090456,0.7520021758349944,0.5595606741449368,-5.980489568551228,0.35090113631244363,0.6411865193839298,0.5550157559043504,0.3123157982553428,0.7537630576023208,0.5589459710020908,-5.970733132552314,-0.1392998625976724,-1.1510564752563384,-0.0739413127901618,3.774800739640672,0.3613171797957685,-0.5162953369069369,-8.451076593345817,-0.15738644281994554,-1.1681570314918137,-0.07345989917415467,4.007915078086205,0.1634036209982475,-0.4111148455363436,-4.477790543439007,-6.8351009716005295,-0.22691586082277024,0.07890381072116875,44.81764023116783,19.871947290902988,-26.653206943560274,104.60812350884534,-5.331616691314178,-1.8807251817827533,-0.6376592916060121,4.178742973226176,0.7058176963442662,-6.461014876091422,30.3705929141674,-1.2279223783099218,0.0235361836930888,0.1248168418629235,0.0397610754772068,0.0517337840016046,0.0295779022849551,-0.0015327314548772,-1.246791633807488,-0.03209284323784559,0.15577681763048254,0.016249741917218254,0.03627100133428609,0.03022767824950349,-0.0020860543852047886
1.015,0.3499290131033493,0.6336719487638719,0.554446470751769,0.3329551754443653,0.7520021758349944,0.5566000356573974,-5.99233212215232,0.3500474300452171,0.635240406996091,0.5546349481755851,0.33233976713996494,0.7544338671949232,0.556369977101549,-5.989472222042596,-0.2078789886664274,-1.1451576549185027,-0.0735623856661944,4.17272890476925,0.3595292904519253,-0.6956428047082928,-2.797386097416515,-0.18403125752619043,-1.177462865406824,-0.07650925200992993,4.028627488921485,0.16858909577677825,-0.4429514273553161,-4.33104350767249,-16.313154312648912,4.563810925613658,0.29316908285566085,32.27001213830889,-0.844677483969238,-4.110292471921518,574.2920391868548,-5.295839702802708,-1.8288143286437255,-0.6432464144084685,3.9983741053391317,0.707713195309159,-6.467539397944179,29.69419877268234,-1.2242141401012074,-0.000633186227388,0.1313038839675796,0.0411686119903643,0.0490099778638101,0.0298909834502188,-0.0015434521127685,-1.2303461977914947,-0.026298014782729032,0.15359916075032803,0.017614485123124305,0.035948388574288045,0.02975307150599634,-0.0020941092886890508
1.02,0.3484674661846817,0.625704599442867,0.5538679087654986,0.3612981339275327,0.7549628143225336,0.5536393971698581,-6.016017229354502,0.349060651231901,0.6292499682556306,0.5542385861631605,0.35247660908319856,0.7551021259112023,0.5536642552557312,-6.00776669137217,-0.2706379627828902,-1.1181618334081365,-0.0718282340192208,4.074361449213698,0.379033618938632,-0.5556281557117362,-4.143334818874697,-0.21049165550749166,-1.1865070579655168,-0.07958262389652443,4.048439511935846,0.17377672654837076,-0.4747996119187907,-4.18786594064036,0.6274005772201617,-2.938552360382037,1.043236567842811,3.7171341825191258,2.301081851138729,19.3032362030591,-227.68118718483177,-5.257822734359634,-1.776503337799432,-0.6477882479336047,3.8201127030985393,0.7061680865831546,-6.465519503651055,28.95752878222348,-1.1982564726402156,-0.0443880800489371,0.1552560394309303,0.0445115112091138,0.0431553600733781,0.0297970591006397,-0.0029800202702034,-1.2133742695330771,-0.0206736232329616,0.15166965537990323,0.018969590786040057,0.03560738271663204,0.029309247255988467,-0.0021022671861998456
1.025,0.3483931502396648,0.6252952099520644,0.5538416104933954,0.3627898685845416,0.7549628143225336,0.5536393971698581,-6.016017229354502,0.347941704661263,0.6232166076088073,0.553826477456874,0.37272307951365413,0.7557672165937893,0.5508293115359346,-6.025613452760971,-0.2118722534362368,-1.1671556343612528,-0.074975487033237,4.2528852083777835,0.3789008567219212,-0.5554334001885312,-4.1418882190645006,-0.23675605690590026,-1.19528726092407,-0.08267613607099174,4.067360275442244,0.17893393562976773,-0.5066213210148709,-4.048516384558692,9.396375613005937,-2.8363735884211483,-10.132706439118117,15.694604529020125,-1.0078487941157677,-0.5608593027280303,-178.26991822406546,-5.21767796523128,-1.723738620487525,-0.651263684031556,3.6442477383492133,0.7007825633471791,-6.455136617141145,28.16505826588793,-1.1956077310625628,-0.0539724853622291,0.1582500588638488,0.0452152794656928,0.0419969597619022,0.0290769724205331,-0.0032587573753773,-1.1959098903120995,-0.015215671628860849,0.14999065607496015,0.020310938798155785,0.035248620915029456,0.02889667255300882,-0.0021103963943524986
1.03,0.3479720265512351,0.6231852794994663,0.5536575225886728,0.3702485418695856,0.7549628143225336,0.5506787586823187,-6.027859782955594,0.3466915413583253,0.6171417350384234,0.5533984491952167,0.39307592005478686,0.756428551742133,0.5478657610770042,-6.043009799918417,-0.2088900153893573,-1.150727169175416,-0.1478403177970713,4.193023117557794,0.3782247988874122,-0.55281427293239,-5.546222335439796,-0.26281349239893165,-1.203800881225933,-0.08578574782915001,4.085400477446026,0.18402703944299983,-0.5383792490513548,-3.913231723954365,-7.560827145196479,-7.374045245199942,1.4039988786395432,-17.596630201515598,4.649702244591942,-8.930328114519803,86.04169675519921,-5.175522931126269,-1.6704672974342265,-0.653656002041086,3.4710569751602343,0.6911958361025365,-6.436613733296475,27.321563735445107,-1.1918994928538509,-0.0560560517346844,0.1652361042073262,0.0444235401770416,0.0409951000330582,0.0295152860519023,-0.0032373160595947,-1.1779875841247902,-0.009919323671918149,0.14856356535369108,0.021634525220205404,0.03487279166374978,0.028515602165247334,-0.0021183627830105114
1.035,0.3467829714309632,0.6176427756239846,0.553263048507125,0.3897902658764009,0.7579234528100731,0.5477181201947793,-6.039702336556686,0.3453111557276268,0.6110267672217341,0.5529543496598174,0.41353185698334977,0.7570855732055702,0.5447743258568294,-6.0599534423111985,-0.2776779462985204,-1.2354979257514696,-0.0736966695419114,4.1803459797808085,0.4135296576891126,-0.6394801843098418,-3.324291136493376,-0.28865363214856227,-1.212045086655973,-0.0889072696475128,4.1025723345519625,0.1890215345389235,-0.5700370377653958,-3.782225939722368,-15.746487818449486,-8.642340494717294,1.4480611282402314,42.62697159362101,-0.12207150621416456,-16.30330682344399,347.87451198550497,-5.131479913419593,-1.6166377841378732,-0.6549526846580404,3.300804962339815,0.6770905930680965,-6.410211301041247,26.432095402343208,-1.1770665400189977,-0.0702243030673771,0.1757151722225434,0.0433678877921734,0.0368311205350503,0.0292022048866386,-0.0022081329020294,-1.1596422420134482,-0.004778980857820273,0.1473888408838923,0.022936485672010006,0.03448062880400046,0.028166082671419252,-0.002126030601697393
1.04,0.3427203664367009,0.6012986874911723,0.5519744331740682,0.4478187440340434,0.7638447297851518,0.5388362047321613,-6.087072550961051,0.3438015826600927,0.6048731286831777,0.5524940497998118,0.43408759991638957,0.7577377517725881,0.5415558318639447,-6.076442536559177,-0.3434338769693701,-1.2224574498178733,-0.1458376268069885,4.549845432528833,0.3770818920006466,-0.6921827418110327,-2.7650599636176527,-0.31426681108937204,-1.220016814140171,-0.09203637641309696,4.118889518951356,0.19388239336914756,-0.6015594330627483,-3.655688981265925,-6.52505972977975,2.9342348018538007,-9.652172485178328,43.3195551168859,-4.840653643682705,-4.704199852181406,28.211450186394018,-5.085675293864762,-1.5622003519511687,-0.6551452240781419,3.1337410272782797,0.6581969871409602,-6.376222852988335,25.501947997658547,-1.121442966888302,-0.0668905968714491,0.185695236998937,0.0239262897041821,0.0271569125284007,0.0290456643040067,-0.0013290389549424,-1.1409090067981766,0.00021163726927499635,0.14646600656057604,0.02421311729139288,0.034072905283162,0.027847958079053926,-0.002133263316086009
1.045,0.3427203664367009,0.6012986874911723,0.5519744331740682,0.4478187440340434,0.7638447297851518,0.5388362047321613,-6.087072550961051,0.34216389461983515,0.5986822529308014,0.5520174446784919,0.4547398407259089,0.7583845866522289,0.5382112057075362,-6.092475714751548,-0.3434338769693701,-1.2224574498178733,-0.1458376268069885,4.549845432528833,0.3770818920006466,-0.6921827418110327,-2.7650599636176527,-0.3396440503924741,-1.2277127805621486,-0.09516862073443577,4.134367083567849,0.19857436730401698,-0.632912422872923,-3.5337857645062503,2.3374260184860147,0.06953845192924821,0.004147924658934321,-0.23528553298524102,3.382942521777615,0.10736749571488846,-8.961407938993508,-5.03823887958722,-1.5071076591397943,-0.6542289219072832,2.9700972924812015,0.6342961162816759,-6.334970439474068,24.536630036304654,-1.121442966888302,-0.0668905968714491,0.185695236998937,0.0239262897041821,0.0271569125284007,0.0290456643040067,-0.0013290389549424,-1.1218231587532421,0.00505941061384188,0.14579366718293768,0.025460899174450418,0.03365042674166461,0.027560876879694447,-0.0021399244485154427
